model,n_features,train_r2,test_r2,test_mae,test_rmse,test_mape,test_mdape
M5_expanded_non_leaky,14,0.5077886698359876,0.537139538244529,504340.01939866086,924031.5126323773,0.49344353809929764,0.3284049321704472
M4_structure_location,9,0.49637405380982835,0.5285088337340891,512983.5385170864,932606.6769181062,0.5050099929402976,0.3376776680263924
M3_structure_with_bathrooms,5,0.45832330458258685,0.47917597609600815,548238.0340866497,980183.1773854194,0.5309029987613315,0.3610508444963808
M2_basic_structure,4,0.4418527858393596,0.4647963732877939,552576.9046124,993622.1495369849,0.5356153392017782,0.35373075336546206
M1_size_only,1,0.3848576725223338,0.4021048942201544,614774.4151108183,1050205.381700106,0.5974281529097945,0.4172800426003883
